Time,reference_time,gps_timestamp,estOrientQuaternion[0-0],estOrientQuaternion[0-1],estOrientQuaternion[0-2],estOrientQuaternion[0-3],estOrientQuaternion:valid,flagStop
1777416350596684023,1175835000000,  1175.830, 0.998945,-0.000442, 0.006303, 0.045492,1,0
1777416350616928848,1189775000000,  1189.770, 0.998857,-0.000543, 0.006639, 0.047337,1,0
1777416350626702100,1189795000000,  1189.790, 0.984811,-0.007100, 0.025075, 0.171662,1,0
1777416350636788503,1189795000000,  1189.790, 0.984811,-0.007100, 0.025075, 0.171662,1,0
1777416350655957539,1189815000000,  1189.810, 0.984776,-0.007094, 0.025074, 0.171861,1,0
1777416350665705790,1189825000000,  1189.830, 0.984742,-0.007114, 0.025110, 0.172054,1,0
1777416350675792249,1189825000000,  1189.830, 0.984742,-0.007114, 0.025110, 0.172054,1,0
1777416350685395702,1189845000000,  1189.850, 0.984707,-0.007127, 0.025148, 0.172246,1,0
1777416350695481179,1189845000000,  1189.850, 0.984707,-0.007127, 0.025148, 0.172246,1,0
1777416350705147040,1189865000000,  1189.870, 0.984673,-0.007134, 0.025191, 0.172433,1,0
1777416350715232851,1189865000000,  1189.870, 0.984673,-0.007134, 0.025191, 0.172433,1,0
1777416350734968874,1189885000000,  1189.890, 0.984640,-0.007144, 0.025239, 0.172617,1,0
1777416350744715977,1189905000000,  1189.910, 0.984607,-0.007156, 0.025280, 0.172799,1,0
1777416350754991919,1189905000000,  1189.910, 0.984607,-0.007156, 0.025280, 0.172799,1,0
1777416350764342537,1189925000000,  1189.930, 0.984574,-0.007166, 0.025306, 0.172981,1,0
1777416350774428162,1189925000000,  1189.930, 0.984574,-0.007166, 0.025306, 0.172981,1,0
1777416350784088468,1189945000000,  1189.950, 0.984542,-0.007175, 0.025320, 0.173162,1,0
1777416350794174130,1189945000000,  1189.950, 0.984542,-0.007175, 0.025320, 0.173162,1,0
1777416350813912913,1189965000000,  1189.970, 0.984510,-0.007191, 0.025344, 0.173338,1,0
1777416350823586293,1189985000000,  1189.990, 0.984478,-0.007200, 0.025377, 0.173515,1,0
1777416350833672455,1189985000000,  1189.990, 0.984478,-0.007200, 0.025377, 0.173515,1,0
1777416350843297131,1190005000000,  1190.010, 0.984446,-0.007175, 0.025358, 0.173697,1,0
1777416350853390664,1190005000000,  1190.010, 0.984446,-0.007175, 0.025358, 0.173697,1,0
1777416350869034533,1190025000000,  1190.025, 0.984413,-0.007194, 0.025403, 0.173878,1,0
1777416350888678111,1190045000000,  1190.045, 0.984382,-0.007208, 0.025436, 0.174052,1,0
1777416350898352973,1190065000000,  1190.065, 0.984350,-0.007220, 0.025471, 0.174223,1,0
1777416350908438820,1190065000000,  1190.065, 0.984350,-0.007220, 0.025471, 0.174223,1,0
1777416350927874489,1190085000000,  1190.080, 0.984335,-0.007227, 0.025483, 0.174306,1,0
1777416350937532165,1190105000000,  1190.100, 0.984305,-0.007242, 0.025485, 0.174476,1,0
1777416350947618068,1190105000000,  1190.100, 0.984305,-0.007242, 0.025485, 0.174476,1,0
1777416350957254929,1190125000000,  1190.120, 0.984266,-0.007214, 0.025642, 0.174674,1,0
1777416350967342073,1190125000000,  1190.120, 0.984266,-0.007214, 0.025642, 0.174674,1,0
1777416350987042040,1190145000000,  1190.140, 0.984229,-0.007224, 0.025712, 0.174870,1,0
1777416351006823990,1190165000000,  1190.160, 0.984188,-0.007261, 0.025722, 0.175102,1,0
1777416351016461440,1190185000000,  1190.180, 0.984147,-0.007254, 0.025771, 0.175325,1,0
1777416351026546560,1190185000000,  1190.180, 0.984147,-0.007254, 0.025771, 0.175325,1,0
1777416351036200047,1190205000000,  1190.200, 0.984115,-0.007216, 0.025941, 0.175478,1,0
1777416351046284631,1190205000000,  1190.200, 0.984115,-0.007216, 0.025941, 0.175478,1,0
1777416351066020960,1190225000000,  1190.220, 0.984091,-0.007202, 0.026012, 0.175602,1,0
1777416351085744919,1190235000000,  1190.240, 0.984064,-0.007222, 0.026043, 0.175751,1,0
1777416351095431777,1190255000000,  1190.260, 0.984024,-0.007188, 0.026064, 0.175968,1,0
1777416351105539212,1190255000000,  1190.260, 0.984024,-0.007188, 0.026064, 0.175968,1,0
1777416351115162458,1190275000000,  1190.280, 0.983956,-0.007129, 0.026100, 0.176347,1,0
1777416351125248171,1190275000000,  1190.280, 0.983956,-0.007129, 0.026100, 0.176347,1,0
1777416351144967686,1190295000000,  1190.300, 0.983862,-0.007044, 0.026132, 0.176871,1,0
1777416351154656099,1190315000000,  1190.320, 0.983774,-0.006955, 0.026043, 0.177375,1,0
1777416351164758535,1190315000000,  1190.320, 0.983774,-0.006955, 0.026043, 0.177375,1,0
1777416351174382688,1190335000000,  1190.340, 0.983706,-0.006918, 0.025802, 0.177789,1,0
1777416351184467901,1190335000000,  1190.340, 0.983706,-0.006918, 0.025802, 0.177789,1,0
1777416351194125573,1190355000000,  1190.360, 0.983648,-0.006908, 0.025744, 0.178116,1,0
1777416351204210768,1190355000000,  1190.360, 0.983648,-0.006908, 0.025744, 0.178116,1,0
1777416351223934967,1190375000000,  1190.380, 0.983589,-0.006945, 0.025787, 0.178437,1,0
1777416351233613047,1190395000000,  1190.400, 0.983516,-0.006954, 0.025782, 0.178837,1,0
1777416351243698908,1190395000000,  1190.400, 0.983516,-0.006954, 0.025782, 0.178837,1,0
1777416351253372266,1190415000000,  1190.420, 0.983442,-0.007049, 0.025864, 0.179229,1,0
1777416351263477387,1190415000000,  1190.420, 0.983442,-0.007049, 0.025864, 0.179229,1,0
1777416351278985673,1190435000000,  1190.435, 0.983412,-0.007153, 0.026013, 0.179370,1,0
1777416351288676846,1190455000000,  1190.455, 0.983395,-0.007242, 0.026142, 0.179439,1,0
1777416351298761744,1190455000000,  1190.455, 0.983395,-0.007242, 0.026142, 0.179439,1,0
1777416351308401619,1190475000000,  1190.475, 0.983360,-0.007393, 0.026149, 0.179624,1,0
1777416351318485703,1190475000000,  1190.475, 0.983360,-0.007393, 0.026149, 0.179624,1,0
1777416351337883955,1190495000000,  1190.490, 0.983333,-0.007430, 0.026127, 0.179773,1,0
1777416351347547553,1190515000000,  1190.510, 0.983333,-0.007430, 0.026127, 0.179773,1,0
1777416351357631711,1190515000000,  1190.510, 0.983333,-0.007430, 0.026127, 0.179773,1,0
1777416351367305031,1190535000000,  1190.530, 0.983194,-0.007733, 0.026206, 0.180508,1,0
1777416351377388892,1190535000000,  1190.530, 0.983194,-0.007733, 0.026206, 0.180508,1,0
1777416351387045231,1190555000000,  1190.550, 0.983127,-0.008001, 0.026239, 0.180856,1,0
1777416351397128500,1190555000000,  1190.550, 0.983127,-0.008001, 0.026239, 0.180856,1,0
1777416351416883126,1190575000000,  1190.570, 0.983055,-0.008159, 0.026216, 0.181245,1,0
1777416351426542668,1190595000000,  1190.590, 0.982991,-0.008269, 0.026323, 0.181568,1,0
1777416351436627993,1190595000000,  1190.590, 0.982991,-0.008269, 0.026323, 0.181568,1,0
1777416351446266720,1190615000000,  1190.610, 0.982929,-0.008363, 0.026066, 0.181936,1,0
1777416351456352007,1190615000000,  1190.610, 0.982929,-0.008363, 0.026066, 0.181936,1,0
1777416351466021253,1190635000000,  1190.630, 0.982828,-0.008592, 0.026368, 0.182427,1,0
1777416351476105189,1190635000000,  1190.630, 0.982828,-0.008592, 0.026368, 0.182427,1,0
1777416351495796499,1190645000000,  1190.650, 0.982692,-0.008907, 0.026124, 0.183181,1,0
1777416351505476968,1190665000000,  1190.670, 0.982549,-0.009316, 0.026321, 0.183894,1,0
1777416351515561422,1190665000000,  1190.670, 0.982549,-0.009316, 0.026321, 0.183894,1,0
1777416351525216020,1190685000000,  1190.690, 0.982409,-0.009511, 0.026377, 0.184626,1,0
1777416351535301233,1190685000000,  1190.690, 0.982409,-0.009511, 0.026377, 0.184626,1,0
1777416351555029062,1190705000000,  1190.710, 0.982342,-0.009612, 0.026349, 0.184981,1,0
1777416351574791726,1190725000000,  1190.730, 0.982148,-0.009538, 0.026169, 0.186038,1,0
1777416351584443675,1190745000000,  1190.750, 0.982034,-0.009849, 0.026203, 0.186615,1,0
1777416351594545426,1190745000000,  1190.750, 0.982034,-0.009849, 0.026203, 0.186615,1,0
1777416351604173727,1190765000000,  1190.770, 0.981888,-0.009609, 0.026062, 0.187413,1,0
1777416351614258200,1190765000000,  1190.770, 0.981888,-0.009609, 0.026062, 0.187413,1,0
1777416351633984196,1190785000000,  1190.790, 0.981739,-0.009613, 0.025984, 0.188206,1,0
1777416351649235721,1190805000000,  1190.805, 0.981624,-0.009328, 0.026101, 0.188803,1,0
1777416351668930827,1190825000000,  1190.825, 0.981501,-0.008787, 0.026242, 0.189449,1,0
1777416351678539703,1190845000000,  1190.845, 0.981433,-0.008132, 0.026227, 0.189828,1,0
1777416351688624175,1190845000000,  1190.845, 0.981433,-0.008132, 0.026227, 0.189828,1,0
1777416351698278384,1190865000000,  1190.865, 0.981404,-0.007161, 0.026630, 0.189964,1,0
1777416351708364412,1190865000000,  1190.865, 0.981404,-0.007161, 0.026630, 0.189964,1,0
1777416351727759572,1190885000000,  1190.880, 0.981406,-0.007033, 0.026665, 0.189952,1,0
1777416351737445892,1190905000000,  1190.900, 0.981375,-0.006810, 0.026426, 0.190154,1,0
1777416351747530272,1190905000000,  1190.900, 0.981375,-0.006810, 0.026426, 0.190154,1,0
1777416351757176240,1190925000000,  1190.920, 0.981322,-0.006400, 0.026818, 0.190385,1,0
1777416351767274602,1190925000000,  1190.920, 0.981322,-0.006400, 0.026818, 0.190385,1,0
1777416351786987912,1190945000000,  1190.940, 0.981370,-0.005894, 0.026712, 0.190171,1,0
1777416351796655770,1190965000000,  1190.960, 0.981456,-0.006592, 0.027116, 0.189647,1,0
1777416351806738538,1190965000000,  1190.960, 0.981456,-0.006592, 0.027116, 0.189647,1,0
1777416351816409173,1190985000000,  1190.980, 0.981675,-0.005579, 0.027165, 0.188534,1,0
1777416351826493035,1190985000000,  1190.980, 0.981675,-0.005579, 0.027165, 0.188534,1,0
1777416351836139429,1191005000000,  1191.000, 0.981960,-0.005639, 0.027019, 0.187062,1,0
1777416351846236883,1191005000000,  1191.000, 0.981960,-0.005639, 0.027019, 0.187062,1,0
1777416351866007139,1191025000000,  1191.020, 0.982267,-0.005463, 0.026538, 0.185520,1,0
1777416351885675838,1191035000000,  1191.040, 0.982552,-0.005361, 0.026661, 0.183988,1,0
1777416351895359270,1191055000000,  1191.060, 0.982812,-0.005330, 0.027237, 0.182513,1,0
1777416351905443983,1191055000000,  1191.060, 0.982812,-0.005330, 0.027237, 0.182513,1,0
1777416351915099303,1191075000000,  1191.080, 0.983087,-0.005817, 0.026716, 0.181087,1,0
1777416351925183294,1191075000000,  1191.080, 0.983087,-0.005817, 0.026716, 0.181087,1,0
1777416351944973217,1191095000000,  1191.100, 0.983270,-0.005971, 0.027259, 0.180004,1,0
1777416351954570851,1191095000000,  1191.120, 0.983522,-0.006213, 0.026849, 0.178677,1,0
1777416351964657268,1191095000000,  1191.120, 0.983522,-0.006213, 0.026849, 0.178677,1,0
1777416351974315255,1191135000000,  1191.140, 0.983739,-0.006177, 0.026949, 0.177462,1,0
1777416351984399709,1191135000000,  1191.140, 0.983739,-0.006177, 0.026949, 0.177462,1,0
1777416351994062658,1191155000000,  1191.160, 0.983949,-0.005988, 0.026947, 0.176301,1,0
1777416352004148427,1191155000000,  1191.160, 0.983949,-0.005988, 0.026947, 0.176301,1,0
1777416352023851007,1191175000000,  1191.180, 0.984131,-0.006382, 0.026743, 0.175299,1,0
1777416352033544693,1191195000000,  1191.200, 0.984268,-0.006547, 0.026786, 0.174515,1,0
1777416352043629384,1191195000000,  1191.200, 0.984268,-0.006547, 0.026786, 0.174515,1,0
1777416352053301644,1191215000000,  1191.220, 0.984350,-0.007032, 0.026486, 0.174079,1,0
1777416352063387520,1191215000000,  1191.220, 0.984350,-0.007032, 0.026486, 0.174079,1,0
1777416352078985986,1191235000000,  1191.235, 0.984410,-0.007222, 0.026541, 0.173726,1,0
1777416352088602986,1191255000000,  1191.255, 0.984430,-0.007940, 0.026709, 0.173556,1,0
1777416352098709214,1191255000000,  1191.255, 0.984430,-0.007940, 0.026709, 0.173556,1,0
1777416352108323474,1191275000000,  1191.275, 0.984452,-0.008519, 0.026843, 0.173384,1,0
1777416352118407108,1191275000000,  1191.275, 0.984452,-0.008519, 0.026843, 0.173384,1,0
1777416352137813556,1191295000000,  1191.290, 0.984451,-0.008830, 0.026947, 0.173355,1,0
1777416352147489001,1191315000000,  1191.310, 0.984422,-0.009119, 0.027365, 0.173438,1,0
1777416352157572840,1191315000000,  1191.310, 0.984422,-0.009119, 0.027365, 0.173438,1,0
1777416352167227396,1191335000000,  1191.330, 0.984380,-0.009276, 0.027715, 0.173612,1,0
1777416352177311512,1191335000000,  1191.330, 0.984380,-0.009276, 0.027715, 0.173612,1,0
1777416352197029555,1191355000000,  1191.350, 0.984327,-0.009246, 0.028028, 0.173866,1,0
1777416352216788395,1191375000000,  1191.370, 0.984260,-0.009055, 0.028292, 0.174215,1,0
1777416352226450563,1191395000000,  1191.390, 0.984158,-0.009180, 0.028346, 0.174770,1,0
1777416352236534345,1191395000000,  1191.390, 0.984158,-0.009180, 0.028346, 0.174770,1,0
1777416352246206050,1191415000000,  1191.410, 0.984020,-0.009792, 0.028116, 0.175553,1,0
1777416352256291981,1191415000000,  1191.410, 0.984020,-0.009792, 0.028116, 0.175553,1,0
1777416352276025413,1191435000000,  1191.430, 0.983865,-0.010092, 0.027962, 0.176425,1,0
1777416352295730623,1191445000000,  1191.450, 0.983727,-0.010137, 0.027889, 0.177205,1,0
1777416352305407939,1191465000000,  1191.470, 0.983671,-0.009301, 0.027579, 0.177609,1,0
1777416352315492870,1191465000000,  1191.470, 0.983671,-0.009301, 0.027579, 0.177609,1,0
1777416352325154778,1191485000000,  1191.490, 0.983652,-0.008755, 0.027520, 0.177749,1,0
1777416352335238246,1191485000000,  1191.490, 0.983652,-0.008755, 0.027520, 0.177749,1,0
1777416352355038420,1191505000000,  1191.510, 0.983586,-0.007475, 0.027840, 0.178123,1,0
1777416352374687795,1191525000000,  1191.530, 0.983553,-0.007076, 0.027799, 0.178328,1,0
1777416352384373630,1191545000000,  1191.550, 0.983473,-0.006554, 0.027873, 0.178778,1,0
1777416352394456839,1191545000000,  1191.550, 0.983473,-0.006554, 0.027873, 0.178778,1,0
1777416352404110228,1191565000000,  1191.570, 0.983392,-0.006359, 0.028384, 0.179149,1,0
1777416352414194919,1191565000000,  1191.570, 0.983392,-0.006359, 0.028384, 0.179149,1,0
1777416352433913814,1191585000000,  1191.590, 0.983311,-0.006591, 0.028532, 0.179562,1,0
1777416352443604185,1191605000000,  1191.610, 0.983210,-0.006856, 0.028565, 0.180096,1,0
1777416352453709691,1191605000000,  1191.610, 0.983210,-0.006856, 0.028565, 0.180096,1,0
1777416352463333006,1191625000000,  1191.630, 0.983088,-0.007087, 0.028517, 0.180762,1,0
1777416352473416956,1191625000000,  1191.630, 0.983088,-0.007087, 0.028517, 0.180762,1,0
1777416352488964532,1191645000000,  1191.645, 0.982999,-0.007131, 0.028492, 0.181247,1,0
1777416352498633755,1191665000000,  1191.665, 0.982955,-0.007760, 0.028320, 0.181485,1,0
1777416352508717409,1191665000000,  1191.665, 0.982955,-0.007760, 0.028320, 0.181485,1,0
1777416352518380632,1191685000000,  1191.685, 0.982871,-0.007455, 0.028194, 0.181975,1,0
1777416352528464081,1191685000000,  1191.685, 0.982871,-0.007455, 0.028194, 0.181975,1,0
1777416352547878566,1191705000000,  1191.700, 0.982852,-0.007407, 0.028179, 0.182081,1,0
1777416352557538493,1191725000000,  1191.720, 0.982799,-0.007174, 0.027949, 0.182409,1,0
1777416352567623905,1191725000000,  1191.720, 0.982799,-0.007174, 0.027949, 0.182409,1,0
1777416352577290962,1191745000000,  1191.740, 0.982789,-0.006918, 0.027918, 0.182481,1,0
1777416352587376671,1191745000000,  1191.740, 0.982789,-0.006918, 0.027918, 0.182481,1,0
1777416352597030227,1191765000000,  1191.760, 0.982755,-0.006574, 0.027681, 0.182712,1,0
1777416352607137547,1191765000000,  1191.760, 0.982755,-0.006574, 0.027681, 0.182712,1,0
1777416352626817738,1191785000000,  1191.780, 0.982747,-0.005871, 0.027436, 0.182817,1,0
