Time,reference_time,gps_timestamp,estOrientQuaternion[0-0],estOrientQuaternion[0-1],estOrientQuaternion[0-2],estOrientQuaternion[0-3],estOrientQuaternion:valid,flagStop
1777417002082599616,1832046000000,  1832.041, 0.998926,-0.002457, 0.006582, 0.045801,1,0
1777417002099083019,1841246000000,  1841.246, 0.991148,-0.006342, 0.019059, 0.131237,1,0
1777417002118732566,1841266000000,  1841.266, 0.991123,-0.006356, 0.019094, 0.131419,1,0
1777417002128408059,1841286000000,  1841.286, 0.991098,-0.006371, 0.019122, 0.131604,1,0
1777417002138493616,1841286000000,  1841.286, 0.991098,-0.006371, 0.019122, 0.131604,1,0
1777417002157892917,1841306000000,  1841.301, 0.991085,-0.006379, 0.019137, 0.131696,1,0
1777417002167577113,1841326000000,  1841.321, 0.991060,-0.006387, 0.019167, 0.131881,1,0
1777417002177661059,1841326000000,  1841.321, 0.991060,-0.006387, 0.019167, 0.131881,1,0
1777417002187314662,1841346000000,  1841.341, 0.991034,-0.006402, 0.019200, 0.132068,1,0
1777417002197399034,1841346000000,  1841.341, 0.991034,-0.006402, 0.019200, 0.132068,1,0
1777417002207050674,1841366000000,  1841.361, 0.991008,-0.006418, 0.019232, 0.132257,1,0
1777417002217136287,1841366000000,  1841.361, 0.991008,-0.006418, 0.019232, 0.132257,1,0
1777417002236842817,1841386000000,  1841.381, 0.990982,-0.006436, 0.019261, 0.132447,1,0
1777417002246536273,1841406000000,  1841.401, 0.990956,-0.006446, 0.019293, 0.132633,1,0
1777417002256621867,1841406000000,  1841.401, 0.990956,-0.006446, 0.019293, 0.132633,1,0
1777417002266267173,1841426000000,  1841.421, 0.990933,-0.006442, 0.019289, 0.132812,1,0
1777417002276352953,1841426000000,  1841.421, 0.990933,-0.006442, 0.019289, 0.132812,1,0
1777417002286032575,1841446000000,  1841.441, 0.990908,-0.006459, 0.019321, 0.132991,1,0
1777417002296116373,1841446000000,  1841.441, 0.990908,-0.006459, 0.019321, 0.132991,1,0
1777417002315804717,1841456000000,  1841.461, 0.990883,-0.006473, 0.019352, 0.133172,1,0
1777417002325488025,1841476000000,  1841.481, 0.990858,-0.006487, 0.019379, 0.133353,1,0
1777417002335572100,1841476000000,  1841.481, 0.990858,-0.006487, 0.019379, 0.133353,1,0
1777417002345229166,1841496000000,  1841.501, 0.990833,-0.006501, 0.019412, 0.133535,1,0
1777417002355313557,1841496000000,  1841.501, 0.990833,-0.006501, 0.019412, 0.133535,1,0
1777417002365042254,1841516000000,  1841.521, 0.990807,-0.006512, 0.019440, 0.133722,1,0
1777417002375126571,1841516000000,  1841.521, 0.990807,-0.006512, 0.019440, 0.133722,1,0
1777417002394764377,1841536000000,  1841.541, 0.990780,-0.006524, 0.019476, 0.133911,1,0
1777417002404460925,1841556000000,  1841.561, 0.990755,-0.006538, 0.019505, 0.134098,1,0
1777417002414545575,1841556000000,  1841.561, 0.990755,-0.006538, 0.019505, 0.134098,1,0
1777417002424191826,1841576000000,  1841.581, 0.990728,-0.006547, 0.019538, 0.134285,1,0
1777417002434277661,1841576000000,  1841.581, 0.990728,-0.006547, 0.019538, 0.134285,1,0
1777417002453996469,1841576000000,  1841.601, 0.990703,-0.006563, 0.019571, 0.134466,1,0
1777417002463686536,1841616000000,  1841.621, 0.990679,-0.006557, 0.019563, 0.134645,1,0
1777417002473770482,1841616000000,  1841.621, 0.990679,-0.006557, 0.019563, 0.134645,1,0
1777417002489312327,1841636000000,  1841.636, 0.990655,-0.006574, 0.019598, 0.134819,1,0
1777417002509048987,1841656000000,  1841.656, 0.990629,-0.006590, 0.019638, 0.135003,1,0
1777417002528793351,1841676000000,  1841.676, 0.990602,-0.006610, 0.019665, 0.135191,1,0
1777417002538468492,1841696000000,  1841.696, 0.990575,-0.006613, 0.019697, 0.135386,1,0
1777417002548552401,1841696000000,  1841.696, 0.990575,-0.006613, 0.019697, 0.135386,1,0
