Time,reference_time,gps_timestamp,estOrientQuaternion[0-0],estOrientQuaternion[0-1],estOrientQuaternion[0-2],estOrientQuaternion[0-3],estOrientQuaternion:valid,flagStop
1777416250135659197,1040789000000,  1040.784, 0.998906,-0.000215, 0.007089, 0.046213,1,0
1777416250155917786,1089319000000,  1089.314, 0.998811,-0.000283, 0.007312, 0.048188,1,0
1777416250165616972,1089339000000,  1089.334, 0.878468,-0.011720, 0.014672, 0.477432,1,0
1777416250175706022,1089339000000,  1089.334, 0.878468,-0.011720, 0.014672, 0.477432,1,0
1777416250185362649,1089359000000,  1089.354, 0.878364,-0.011735, 0.014695, 0.477622,1,0
1777416250195451125,1089359000000,  1089.354, 0.878364,-0.011735, 0.014695, 0.477622,1,0
1777416250205069694,1089379000000,  1089.374, 0.878263,-0.011604, 0.014544, 0.477816,1,0
1777416250215154781,1089379000000,  1089.374, 0.878263,-0.011604, 0.014544, 0.477816,1,0
1777416250234888513,1089399000000,  1089.394, 0.878162,-0.011623, 0.014571, 0.478000,1,0
1777416250244585477,1089419000000,  1089.414, 0.878060,-0.011646, 0.014606, 0.478185,1,0
1777416250254670212,1089419000000,  1089.414, 0.878060,-0.011646, 0.014606, 0.478185,1,0
1777416250264314135,1089429000000,  1089.434, 0.877958,-0.011669, 0.014632, 0.478372,1,0
1777416250274400296,1089429000000,  1089.434, 0.877958,-0.011669, 0.014632, 0.478372,1,0
1777416250284023087,1089449000000,  1089.454, 0.877854,-0.011723, 0.014682, 0.478561,1,0
1777416250294109285,1089449000000,  1089.454, 0.877854,-0.011723, 0.014682, 0.478561,1,0
1777416250313835943,1089469000000,  1089.474, 0.877778,-0.011785, 0.014691, 0.478697,1,0
1777416250323512775,1089489000000,  1089.494, 0.877723,-0.011864, 0.014715, 0.478796,1,0
1777416250333597492,1089489000000,  1089.494, 0.877723,-0.011864, 0.014715, 0.478796,1,0
1777416250343284640,1089509000000,  1089.514, 0.877669,-0.011943, 0.014751, 0.478892,1,0
1777416250353370172,1089509000000,  1089.514, 0.877669,-0.011943, 0.014751, 0.478892,1,0
1777416250363037837,1089529000000,  1089.534, 0.877622,-0.011989, 0.014766, 0.478975,1,0
1777416250373121942,1089529000000,  1089.534, 0.877622,-0.011989, 0.014766, 0.478975,1,0
1777416250392859915,1089549000000,  1089.554, 0.877571,-0.012020, 0.014792, 0.479068,1,0
1777416250402486837,1089569000000,  1089.574, 0.877504,-0.011877, 0.014645, 0.479198,1,0
1777416250412571998,1089569000000,  1089.574, 0.877504,-0.011877, 0.014645, 0.479198,1,0
1777416250422229199,1089589000000,  1089.594, 0.877414,-0.011884, 0.014660, 0.479363,1,0
1777416250432313860,1089589000000,  1089.594, 0.877414,-0.011884, 0.014660, 0.479363,1,0
1777416250442002620,1089609000000,  1089.614, 0.877305,-0.011930, 0.014689, 0.479560,1,0
1777416250452089318,1089609000000,  1089.614, 0.877305,-0.011930, 0.014689, 0.479560,1,0
1777416250467629962,1089629000000,  1089.629, 0.877212,-0.011987, 0.014706, 0.479727,1,0
1777416250477286330,1089649000000,  1089.649, 0.877153,-0.012039, 0.014724, 0.479835,1,0
1777416250487371380,1089649000000,  1089.649, 0.877153,-0.012039, 0.014724, 0.479835,1,0
1777416250497013136,1089669000000,  1089.669, 0.877097,-0.012085, 0.014733, 0.479935,1,0
1777416250507098667,1089669000000,  1089.669, 0.877097,-0.012085, 0.014733, 0.479935,1,0
1777416250526507615,1089689000000,  1089.684, 0.877045,-0.012015, 0.014761, 0.480031,1,0
1777416250536203375,1089709000000,  1089.704, 0.876910,-0.011969, 0.014743, 0.480278,1,0
1777416250546287647,1089709000000,  1089.704, 0.876910,-0.011969, 0.014743, 0.480278,1,0
1777416250566027361,1089729000000,  1089.724, 0.876785,-0.011980, 0.014784, 0.480506,1,0
1777416250585758185,1089749000000,  1089.744, 0.876720,-0.012044, 0.014853, 0.480621,1,0
1777416250605035011,1089769000000,  1089.764, 0.876697,-0.011954, 0.014651, 0.480671,1,0
1777416250624916199,1089789000000,  1089.784, 0.876651,-0.012040, 0.014676, 0.480752,1,0
1777416250634457892,1089799000000,  1089.804, 0.876593,-0.012085, 0.014682, 0.480857,1,0
1777416250644542923,1089799000000,  1089.804, 0.876593,-0.012085, 0.014682, 0.480857,1,0
1777416250654226627,1089819000000,  1089.824, 0.876502,-0.012137, 0.014698, 0.481021,1,0
1777416250664311565,1089819000000,  1089.824, 0.876502,-0.012137, 0.014698, 0.481021,1,0
1777416250684050131,1089839000000,  1089.844, 0.876391,-0.012142, 0.014731, 0.481222,1,0
1777416250703785438,1089859000000,  1089.864, 0.876291,-0.012106, 0.014737, 0.481405,1,0
1777416250713417674,1089879000000,  1089.884, 0.876206,-0.012110, 0.014775, 0.481558,1,0
1777416250723502983,1089879000000,  1089.884, 0.876206,-0.012110, 0.014775, 0.481558,1,0
1777416250733189928,1089899000000,  1089.904, 0.876103,-0.012137, 0.014814, 0.481744,1,0
1777416250743275830,1089899000000,  1089.904, 0.876103,-0.012137, 0.014814, 0.481744,1,0
1777416250763009173,1089919000000,  1089.924, 0.875990,-0.012140, 0.014824, 0.481948,1,0
1777416250782745905,1089939000000,  1089.944, 0.875885,-0.012148, 0.014853, 0.482138,1,0
1777416250792375753,1089959000000,  1089.964, 0.875823,-0.011964, 0.014628, 0.482262,1,0
1777416250802460858,1089959000000,  1089.964, 0.875823,-0.011964, 0.014628, 0.482262,1,0
1777416250812137802,1089979000000,  1089.984, 0.875777,-0.012006, 0.014643, 0.482345,1,0
1777416250822222963,1089979000000,  1089.984, 0.875777,-0.012006, 0.014643, 0.482345,1,0
1777416250837756014,1089999000000,  1089.999, 0.875718,-0.012059, 0.014658, 0.482450,1,0
1777416250847543189,1090019000000,  1090.019, 0.875620,-0.012090, 0.014670, 0.482625,1,0
1777416250857649555,1090019000000,  1090.019, 0.875620,-0.012090, 0.014670, 0.482625,1,0
1777416250867239770,1090039000000,  1090.039, 0.875499,-0.012108, 0.014685, 0.482846,1,0
1777416250877348173,1090039000000,  1090.039, 0.875499,-0.012108, 0.014685, 0.482846,1,0
1777416250896718099,1090059000000,  1090.059, 0.875393,-0.012068, 0.014704, 0.483037,1,0
1777416250906354280,1090079000000,  1090.074, 0.875338,-0.012041, 0.014723, 0.483137,1,0
1777416250916440330,1090079000000,  1090.074, 0.875338,-0.012041, 0.014723, 0.483137,1,0
1777416250926107477,1090099000000,  1090.094, 0.875238,-0.012057, 0.014727, 0.483317,1,0
1777416250936192101,1090099000000,  1090.094, 0.875238,-0.012057, 0.014727, 0.483317,1,0
1777416250955991597,1090119000000,  1090.114, 0.875155,-0.012105, 0.014751, 0.483467,1,0
1777416250965605147,1090139000000,  1090.134, 0.875075,-0.012150, 0.014778, 0.483609,1,0
1777416250975752721,1090139000000,  1090.134, 0.875075,-0.012150, 0.014778, 0.483609,1,0
1777416250985370586,1090159000000,  1090.154, 0.874996,-0.012198, 0.014769, 0.483751,1,0
1777416250995455654,1090159000000,  1090.154, 0.874996,-0.012198, 0.014769, 0.483751,1,0
1777416251005064704,1090179000000,  1090.174, 0.874939,-0.012098, 0.014643, 0.483860,1,0
1777416251015150484,1090179000000,  1090.174, 0.874939,-0.012098, 0.014643, 0.483860,1,0
1777416251034931553,1090199000000,  1090.194, 0.874899,-0.012160, 0.014647, 0.483932,1,0
1777416251044562669,1090219000000,  1090.214, 0.874846,-0.012202, 0.014671, 0.484025,1,0
1777416251054647764,1090219000000,  1090.214, 0.874846,-0.012202, 0.014671, 0.484025,1,0
1777416251064313494,1090229000000,  1090.234, 0.874742,-0.012226, 0.014722, 0.484212,1,0
1777416251074398516,1090229000000,  1090.234, 0.874742,-0.012226, 0.014722, 0.484212,1,0
1777416251084072005,1090249000000,  1090.254, 0.874606,-0.012238, 0.014762, 0.484456,1,0
1777416251094156971,1090249000000,  1090.254, 0.874606,-0.012238, 0.014762, 0.484456,1,0
1777416251113818586,1090269000000,  1090.274, 0.874472,-0.012255, 0.014751, 0.484697,1,0
1777416251123525263,1090289000000,  1090.294, 0.874380,-0.012259, 0.014647, 0.484866,1,0
1777416251133627101,1090289000000,  1090.294, 0.874380,-0.012259, 0.014647, 0.484866,1,0
1777416251143289571,1090309000000,  1090.314, 0.874319,-0.012236, 0.014420, 0.484982,1,0
1777416251153375204,1090309000000,  1090.314, 0.874319,-0.012236, 0.014420, 0.484982,1,0
1777416251163036044,1090329000000,  1090.334, 0.874241,-0.012204, 0.014252, 0.485129,1,0
1777416251173119769,1090329000000,  1090.334, 0.874241,-0.012204, 0.014252, 0.485129,1,0
1777416251192778940,1090349000000,  1090.354, 0.874170,-0.012115, 0.014085, 0.485265,1,0
1777416251202468727,1090369000000,  1090.374, 0.874147,-0.012095, 0.014025, 0.485308,1,0
1777416251212553174,1090369000000,  1090.374, 0.874147,-0.012095, 0.014025, 0.485308,1,0
1777416251222226386,1090389000000,  1090.394, 0.874141,-0.012160, 0.014032, 0.485318,1,0
1777416251232310481,1090389000000,  1090.394, 0.874141,-0.012160, 0.014032, 0.485318,1,0
1777416251247852018,1090409000000,  1090.409, 0.874121,-0.012176, 0.014110, 0.485350,1,0
1777416251257544861,1090429000000,  1090.429, 0.874005,-0.012289, 0.014228, 0.485554,1,0
1777416251267630790,1090429000000,  1090.429, 0.874005,-0.012289, 0.014228, 0.485554,1,0
1777416251277311132,1090449000000,  1090.449, 0.873834,-0.012292, 0.014201, 0.485862,1,0
1777416251287409543,1090449000000,  1090.449, 0.873834,-0.012292, 0.014201, 0.485862,1,0
1777416251297008916,1090469000000,  1090.469, 0.873693,-0.012308, 0.014171, 0.486115,1,0
1777416251307093512,1090469000000,  1090.469, 0.873693,-0.012308, 0.014171, 0.486115,1,0
